Location,Latitude,Longitude
Paris,48.8588897,2.320041
Melbourne,-37.8142454,144.9631732
London,51.4893335,-0.1440551
New York,40.7127281,-74.0060152
Miami,25.7741728,-80.19362
Indian Wells,33.7217965,-116.338303
Rome,41.8933203,12.4829321
Monte Carlo,43.7402961,7.426559
Cincinnati,39.1014537,-84.5124602
Barcelona,41.3825802,2.177073
Madrid,40.4167047,-3.7035825
Hamburg,53.550341,10.000654
Queens Club,47.2649115,11.4036563
Washington,38.8950368,-77.0365427
Stuttgart,48.7784485,9.1800132
Tokyo,35.6768601,139.7638947
Shanghai,31.2312707,121.4700152
Kitzbuhel,47.4463585,12.3911473
Rotterdam,51.9244424,4.47775
Delray Beach,26.4614625,-80.0728201
Doha,25.2856329,51.5264162
Acapulco,16.8680495,-99.8940182
Halle,51.4824354,11.9712985
Marseille,43.2961743,5.3699525
Newport,41.4899827,-71.3137707
Buenos Aires,-34.6083696,-58.4440583
Toronto,43.6534817,-79.3839347
Munich,48.1371079,11.5753822
Dubai ,25.0742823,55.1885387
Vienna,48.2083537,16.3725042
Gstaad,46.4761004,7.2873587
Umag,45.4323587,13.5224098
Bastad,56.4267895,12.8607151
Basel,47.5581077,7.5878261
's-Hertogenbosch,51.6889387,5.303116
Stockholm,59.3251172,18.0710935
Houston,29.7589382,-95.3676974
Auckland,-36.852095,174.7631803
Montreal,45.5031824,-73.5698065
St. Petersburg,59.938732,30.316229
Sydney,-33.8698439,151.2082848
Moscow,55.625578,37.6063916
Memphis,35.1460249,-90.0517638
Metz,49.1196964,6.1763552
Chennai,13.0836939,80.270186
Winston-Salem,36.0998131,-80.2440518
Bucharest,44.4361414,26.1027202
Beijing,40.190632,116.412144
Lyon,45.7578137,4.8320114
Casablanca,33.5945144,-7.6200284
Indianapolis,39.7683331,-86.1583502
San Jose,37.3361663,-121.890591
Adelaide,-34.9281805,138.5999312
Atlanta,33.7489924,-84.3902644
Valencia,39.4697065,-0.3763353
Los Angeles,34.0536909,-118.242766
Nottingham,52.9534193,-1.1496461
Vina del Mar,-33.0244535,-71.5517636
Montpellier,43.6112422,3.8767337
Eastbourne,50.7664372,0.2781546
Bangkok,13.7524938,100.4935089
Brisbane,-27.4689682,153.0234991
Estoril,38.7095707,-9.3901368
Estoril ,38.7095707,-9.3901368
Zagreb,45.8130967,15.9772795
New Haven,41.3082138,-72.9250518
Rio de Janeiro,-22.9110137,-43.2093727
Costa Do Sauipe,-12.4391251,-37.9233062
Palermo,38.1112268,13.3524434
Sopot,54.4430399,18.5613095
Geneva,46.2017559,6.1466014
Sao Paulo,-23.5506507,-46.6333824
Amersfoort,52.1637702,5.4088845
Santiago,9.8694792,-83.7980749
Kuala Lumpur,3.1526589,101.7022205
Los Cabos,43.5122922,-6.0973052
Nice,43.7009358,7.2683912
Belgrade,44.8178131,20.4568974
Antwerp,51.2211097,4.3997081
Sofia,42.6977028,23.3217359
Long Island,40.851497,-73.0994297
St. Polten,48.2043985,15.6229118
Scottsdale,33.4942189,-111.926018
Marrakech,31.6258257,-7.9891608
Mallorca,39.613432,2.8829185
Milan,45.4641943,9.1896346
Bogota,4.7110053,-74.0720857
Shenzhen ,22.5445741,114.0545429
Cordoba,37.8845813,-4.7760138
Pune,18.5213738,73.8545071
Copenhagen,55.6867243,12.5700724
Antalya,36.8865728,30.7030242
Chengdu,30.6598628,104.0633717
Istanbul,41.006381,28.9758715
Quito,-0.2201641,-78.5123274
Hong Kong,22.350627,114.1849161
Dubai,25.0742823,55.1885387
Tashkent,41.3123363,69.2787079
Las Vegas,36.171697,-115.1463536
Portschach,46.6359543,14.1448209
Johannesburg ,-26.205,28.049722
Nur-Sultan,51.1282205,71.4306682
Budapest,47.4978789,19.0402383
Mumbai,19.054999,72.8692035
Salvador,13.8000382,-88.9140683
Amsterdam,52.3730796,4.8924534
San Diego,32.7174202,-117.162772
Dusseldorf,51.2254018,6.7763137
Cologne,43.7218277,0.9774958
Dallas,32.7762719,-96.7968559
Oeiras,38.6925777,-9.3123076
Ho Chi Min City,10.7763897,106.7011391
Brighton,50.8214626,-0.1400561
Vienna ,48.2083537,16.3725042
Orlando,28.5421109,-81.3790304
Toulouse,43.6044622,1.4442469
San Marino,43.9458623,12.458306
Mexico City,19.3207722,-99.1514678
Warsaw,52.2337172,21.0714322
Turin,45.0677551,7.6824892
Florence,43.7697955,11.2556404
Seoul,37.5666791,126.9782914
Tel Aviv,32.0852997,34.7818064
Gijon,43.5449422,-5.66275
Banja Luka,44.7720845,17.1917651
Napoli,40.8358846,14.2487679
Zhuhai,22.273734,113.5721327
Sardinia,40.0912813,9.0305773
Singapore,1.357107,103.8194992
Cagliari,39.2171994,9.113311
Marbella,36.508976,-4.88562
Parma,44.6952006,10.0979869
Lisbon,38.7077507,-9.1365919
